sep=;
Reference; Value; Footprint; Datasheet; Manufacturer; MPN; SKU; C; Tol; Vmax; Type
J1;PCIEXPRESS-X1;Main:PCIEXPRESS-X1;;Amphenol FCI;10018784-10200TLF;;;;;
U1;MC14504B-TSSOP;Main:SOP65P500X440X120-16;;ON Semiconductor;MC14504BDTR2G;SOFTPWM;;;;
Q1;Q_NMOS_GDSD;TO_SOT_Packages_SMD:SOT-223;;Diodes Inc;ZXMN4A06GTA;STUFF;;;;
Q2;Q_NMOS_GDSD;TO_SOT_Packages_SMD:SOT-223;;Diodes Inc;ZXMN4A06GTA;STUFF;;;;
Q3;Q_NMOS_GDSD;TO_SOT_Packages_SMD:SOT-223;;Diodes Inc;ZXMN4A06GTA;STUFF;;;;
Q4;Q_NMOS_GDSD;TO_SOT_Packages_SMD:SOT-223;;Diodes Inc;ZXMN4A06GTA;STUFF;;;;
A1;ART;pluggee:pluggeeLabsIcon-16X8;
FID1;FIDTOP001;Main:FIDTOP001;
FID2;FIDTOP001;Main:FIDTOP001;
FID3;FIDTOP001;Main:FIDTOP001;
J2;CONN254P-02X04;Main:CONN254P-02X04;;Amphenol FCI;68021-408HLF;STUFF;;;;
C3;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;100 nF;±10%;50.0V;X7R
C1;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;100 nF;±10%;50.0V;X7R
